Brightness,SD of brightness
1.30102987867,nan
3.32511555279,nan
3.17207795627,nan
3.64149927703,0.0884949444496
1.5799740943,nan
1.6178816084,nan
3.31327853092,nan
3.57259576053,nan
3.82166552914,nan
3.1416640047,nan
1.30102997483,nan
1.50425168499,nan
3.41002560895,nan
1.3011206908,nan
3.64757133609,nan
3.14199402195,nan
3.66207822283,nan
3.64068507392,nan
3.59812969436,nan
1.39890269645,nan
3.8041601512,nan
3.48559542626,nan
1.52151472865,nan
3.26159886792,nan
3.72795401892,0.0572466229985
3.5445133263,nan
3.6078405658,nan
3.39427543626,nan
1.30103169828,nan
3.63647797628,nan
1.5155158615,nan
1.68209372099,nan
3.38408197896,nan
3.7469068341,0.0566241910146
3.58251742776,nan
3.71795807551,nan
3.57931317966,nan
3.57971432458,nan
3.8190684032,nan
1.3327420088,nan
3.60286679524,nan
1.30102999234,nan
1.30119954719,nan
1.30103002228,nan
3.49131807682,nan
3.25825737459,nan
1.52584409576,0.193493863781
1.30383565953,nan
1.55517776447,nan
3.54959441456,nan
3.52845505984,nan
3.18251526324,nan
3.49941977393,nan
1.64486184481,nan
1.52602984224,nan
1.30117112569,nan
1.30105028054,nan
3.68029165262,nan
3.75124249123,nan
3.22006197331,nan
3.90257062822,nan
3.76784828329,nan
1.30067431086,nan
1.47108821444,nan
1.30126488395,nan
3.66375670065,nan
3.39829896033,nan
1.30102996157,nan
3.75782647376,nan
1.50946701545,nan
1.43537497226,nan
3.27246953083,nan
3.61080698781,nan
3.57593461287,nan
3.48291711058,nan
1.58017278533,nan
3.46389834444,nan
3.39558258455,nan
1.29990401267,nan
1.30103004624,nan
1.30103004089,0.201059500258
3.31989737914,nan
1.40333732276,nan
1.30102990019,nan
1.29737662356,nan
1.55491232359,nan
1.56844843143,nan
1.8581736399,nan
1.30106735339,nan
3.75452076573,nan
3.42613188546,nan
3.45452542655,nan
1.30103002634,nan
3.89711222412,nan
1.39807356315,nan
3.50923030103,nan
1.30103007665,nan
3.63142402785,0.0121608588602
3.49206889868,nan
1.31538672528,nan
1.4988959678,nan
3.43222117379,nan
3.3396704863,nan
3.25959595537,nan
1.30103173721,nan
1.30400254198,nan
1.30110216729,nan
3.51667408491,nan
1.30103001491,nan
3.80183270694,nan
3.65788542039,0.0821623291463
3.53884532073,nan
3.68202643443,nan
3.77597428572,nan
1.47021823211,nan
3.74355028141,nan
3.74268718572,nan
3.66873134007,nan
1.71506935635,nan
1.30103122878,nan
1.30103028652,nan
3.25784711987,nan
1.42853950645,nan
3.58616515291,nan
3.29752282282,nan
3.4762077927,nan
1.43410863135,nan
3.66464998768,nan
3.33570770766,nan
3.50379065522,nan
1.30203127645,nan
3.38436847672,nan
3.66515531211,nan
1.30110735857,nan
3.42808736744,nan
3.59167814961,0.0604061484064
3.63202586037,nan
1.3009918108,nan
1.30110709112,nan
1.30174143298,nan
1.41866229342,nan
3.53920864311,nan
3.66829186817,nan
1.3010299946,nan
3.77979792656,nan
1.30103006049,nan
3.66917886299,nan
1.73301763633,nan
3.63210531193,nan
2.97849132059,nan
3.63958388719,nan
3.6435385081,nan
1.30033018555,nan
3.54245739162,nan
1.30103083062,nan
3.74641881603,nan
1.58628250138,nan
3.36368288128,nan
3.42928718935,nan
1.29632043654,nan
1.56489679964,nan
1.44273755687,nan
3.39034039522,nan
3.25935492216,nan
1.30109311794,nan
1.59449952629,nan
3.71123796372,nan
3.69811661991,nan
1.41218203606,nan
3.64732161442,nan
3.61804983106,nan
3.32148463399,nan
3.75663912836,nan
1.64873661487,nan
3.63225185677,nan
3.81968408211,0.117514219338
3.59874604315,0.196929038912
1.55931324497,nan
3.62142086756,nan
3.68224788066,nan
3.22677262667,nan
3.24225259241,nan
3.57705196182,nan
3.68317888063,nan
1.70799703542,nan
3.4084631783,nan
3.59226426717,nan
3.62686166118,nan
1.46143757556,nan
3.16480120916,nan
3.4821614452,nan
1.66017892013,nan
3.35394014143,nan
3.1631543824,0.147193533677
3.72460840868,nan
1.51364442422,nan
